Album_Name,Artist,Album_ID,Album_Name_Spotify,Artists_Spotify
Stomp the Yard Soundtrack,Various Artists,13vzURZ4ysMf7H4EyYd6vj,Highlights from Stomp the Yard,['Various Artists']
Spider-Man 2 Soundtrack,Various Artists,5CDQad1DaBcIZWTb99FXrb,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],['Various Artists']
Spider-Man 3 Soundtrack,Various Artists,76cWK429BEvFhVsM5f09LM,Spider-Man 3: Music From And Inspired By,['Various Artists']
Alicia Keys Unplugged,Alicia Keys,4KCe4KPxUSyKPLu5a6mDVg,Unplugged,['Alicia Keys']
Bandslam Movie Soundtrack,Various Artists,1gXc9zoz0ui1jt8qJE5PXH,Bandslam,['Various Artists']
Valentine's Day Movie Soundtrack,Various Artists,6oUTqYPV88CVjpv2H4Noo9,Valentine's Day - R&B Love,['Various Artists']
The Twilight Saga: New Moon Soundtrack,Various Artists,2PDlvc7K51qC4Bkali3q0R,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),['Various Artists']
Dirty Dancing: Original Soundtrack,Various Artists,3LRhyjBARwKrCp28rmcmAM,Dirty Dancing: Anniversary Edition,['Various Artists']
Glee: The Music Presents Glease (Grease),Glee Cast,1mDqpftq052YKfV09jqhwk,Glee: The Music presents Glease,['Glee Cast']
The Hunger Games: Catching Fire (Original Soundtrack),Various Artists,0SEBE7BfXHY4o9VQICoZOC,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),['Various Artists']
Charlie's Angels: Full Throttle Soundtrack,Various Artists,0BYt4q97GlEW68YEY8MLFg,Charlie's Angels: Full Throttle (Music From The Motion Picture),['Various Artists']
Daughtry,Chris Daughtry,6ii8Ja21xLGkFH8CQ6bKjj,Daughtry (Deluxe Edition),['Daughtry']
The Amazing Spider-Man 2 (Original Motion Picture Soundtrack),Various Artists,5CDQad1DaBcIZWTb99FXrb,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],['Various Artists']
The Graduate Soundtrack,"David Grusin, Paul Simon, Simon & Garfunkel",4Y6Y51075ZorxVXgeFikcZ,The Graduate,['Simon & Garfunkel']
Dreamgirls Soundtrack,Various Artists,7x0K2KoVdoFy192loas5Sp,Dreamgirls (Music from the Motion Picture) [Deluxe Edition],['Various Artists']
Sweeney Todd Soundtrack,Various Artists,0CgTKS2HmWc3JeI9Fit2vX,"Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack",['Various Artists']
